表訂時間,往來地點中文,航空公司,航班狀態,實際時間
2025/4/29 18:00,清邁,泰國亞洲航空,已到Arrived,2025/4/29 17:35
2025/4/29 18:00,胡志明市,越捷航空,已到Arrived,2025/4/29 19:26
2025/4/29 18:00,河內,越捷航空,已到Arrived,2025/4/29 18:03
2025/4/29 18:00,曼谷,星宇航空,已到Arrived,2025/4/29 17:56
2025/4/29 18:10,曼谷,中華航空,已到Arrived,2025/4/29 18:05
2025/4/29 18:15,札幌,中華航空,已到Arrived,2025/4/29 18:16
2025/4/29 18:15,大阪/關西,國泰航空,已到Arrived,2025/4/29 18:32
2025/4/29 18:20,重慶,中國國際航空,已到Arrived,2025/4/29 18:02
2025/4/29 18:25,東京,國泰航空,已到Arrived,2025/4/29 18:23
2025/4/29 18:35,新加坡,中華航空,已到Arrived,2025/4/29 18:13
2025/4/29 18:45,舊金山,聯合航空,已到Arrived,2025/4/29 18:41
2025/4/29 18:45,琉球(沖繩),泰越捷,已到Arrived,2025/4/29 18:09
2025/4/29 18:50,名古屋,國泰航空,已到Arrived,2025/4/29 18:45
2025/4/29 18:50,青森,長榮航空,已到Arrived,2025/4/29 18:19
2025/4/29 18:50,新加坡,星宇航空,已到Arrived,2025/4/29 18:43
2025/4/29 18:55,仙台,長榮航空,已到Arrived,2025/4/29 18:51
2025/4/29 18:55,雅加達,星宇航空,已到Arrived,2025/4/29 18:41
2025/4/29 19:00,香港,長榮航空,已到Arrived,2025/4/29 18:51
2025/4/29 19:00,東京,星宇航空,已到Arrived,2025/4/29 18:57
2025/4/29 19:05,馬尼拉,中華航空,已到Arrived,2025/4/29 19:08
2025/4/29 19:10,福島,臺灣虎航,已到Arrived,2025/4/29 18:59
2025/4/29 19:15,札幌,長榮航空,已到Arrived,2025/4/29 19:26
2025/4/29 19:15,澳門,澳門航空,已到Arrived,2025/4/29 19:10
2025/4/29 19:15,香港,香港航空,已到Arrived,2025/4/29 19:18
2025/4/29 19:25,香港,中華航空,已到Arrived,2025/4/29 19:21
2025/4/29 19:35,吉隆坡,中華航空,已到Arrived,2025/4/29 19:31
2025/4/29 19:35,札幌,星宇航空,已到Arrived,2025/4/29 19:29
2025/4/29 19:40,廣州,中華航空,已到Arrived,2025/4/29 20:23
2025/4/29 19:40,東京,樂桃航空,已到Arrived,2025/4/29 19:40
2025/4/29 19:50,新加坡,長榮航空,已到Arrived,2025/4/29 19:37
2025/4/29 19:55,熊本,中華航空,已到Arrived,2025/4/29 19:50
2025/4/29 19:55,檳城,中華航空,已到Arrived,2025/4/29 19:58
2025/4/29 19:55,西雅圖,達美航空,已到Arrived,2025/4/29 19:55
2025/4/29 20:05,香港,國泰航空,已到Arrived,2025/4/29 19:53
2025/4/29 20:10,胡志明市,長榮航空,已到Arrived,2025/4/29 20:09
2025/4/29 20:10,曼谷,泰越捷,已到Arrived,2025/4/29 19:43
2025/4/29 20:10,仙台,星宇航空,已到Arrived,2025/4/29 19:48
2025/4/29 20:20,東京,泰國獅子航空,已到Arrived,2025/4/29 20:00
2025/4/29 20:25,吉隆坡,長榮航空,已到Arrived,2025/4/29 20:12
2025/4/29 20:30,大阪/關西,長榮航空,已到Arrived,2025/4/29 20:29
2025/4/29 20:30,琉球(沖繩),長榮航空,已到Arrived,2025/4/29 20:38
2025/4/29 20:30,香港,香港快運航空,已到Arrived,2025/4/29 20:20
2025/4/29 20:35,福岡,中華航空,已到Arrived,2025/4/29 20:17
2025/4/29 20:40,東京,中華航空,已到Arrived,2025/4/29 20:36
2025/4/29 20:45,福岡,長榮航空,已到Arrived,2025/4/29 21:12
2025/4/29 20:45,東京,日本航空,已到Arrived,2025/4/29 21:29
2025/4/29 20:45,香港,香港航空,已到Arrived,2025/4/29 21:00
2025/4/29 20:55,高松,中華航空,已到Arrived,2025/4/29 20:41
2025/4/29 20:55,雅加達,長榮航空,已到Arrived,2025/4/29 21:06
2025/4/29 21:00,大阪/關西,中華航空,已到Arrived,2025/4/29 21:31
2025/4/29 21:05,峇里島,中華航空,已到Arrived,2025/4/29 20:48
2025/4/29 21:05,胡志明市,越南航空,已到Arrived,2025/4/29 21:33
2025/4/29 21:10,雅加達,中華航空,已到Arrived,2025/4/29 21:10
2025/4/29 21:10,河內,越南航空,已到Arrived,2025/4/29 21:02
2025/4/29 21:20,香港,國泰航空,已到Arrived,2025/4/29 21:02
2025/4/29 21:25,釜山,中華航空,已到Arrived,2025/4/29 21:23
2025/4/29 21:25,峴港,中華航空,已到Arrived,2025/4/29 22:32
2025/4/29 21:25,仁川,長榮航空,已到Arrived,2025/4/29 20:57
2025/4/29 21:25,馬尼拉,長榮航空,已到Arrived,2025/4/29 20:55
2025/4/29 21:30,琉球(沖繩),中華航空,已到Arrived,2025/4/29 21:27
2025/4/29 21:30,倫敦(曼谷),長榮航空,已到Arrived,2025/4/29 21:25
